Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C21",C_0805,3,22uF,C45783
"C10, C11",C_0805,2,47uF,C16780
"C13, C14",C_0402,2,10nF,C15195
"C15, C18, C7, C9",C_0402,4,100nF,C1525
C17,C_0402,1,4.7nF,C1538
C19,C_0402,1,33pF,C1562
"C4, C5",C_0603,2,10uF,C96446
C6,C_0402,1,1nF,C1523
C8,C_0402,1,47pF,C1567
"D1, D2",D_SMA,2,SS32,
D3,D_0603,1,Red,C2286
D4,D_0603,1,White,C2290
D6,D_0603,1,Yellow,C89811
J1,JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal,1,Conn_01x04_Pin,
J2,AMASS_XT30UPB-M_1x02_P5.0mm_Vertical,1,Conn_01x02,
J3,JST_GH_SM06B-GHS-TB_1x06-1MP_P1.25mm_Horizontal,1,Conn_01x06,
J5,TestPoint_Pad_2.0x2.0mm,1,GND,
J6,TestPoint_Pad_2.0x2.0mm,1,+BATT,
"Q2, Q3, Q4",Q_SOT-23,3,AO3400A,C20917
R1,R_0402,1,27kΩ,C25771
"R10, R11, R14, R5, R9",R_0402,5,10kΩ,C25744
R12,R_0603,1,1.8kΩ,C4177
R13,R_0402,1,200Ω,C25087
R15,R_0603,1,430Ω,C23170
R16,R_0603,1,820Ω,C23253
R18,R_0402,1,49.9kΩ,C25897
"R2, R7",R_0402,2,330kΩ,C25778
R3,R_0402,1,2kΩ,C4109
"R4, R8",R_0402,2,100kΩ,C25741
R6,R_0402,1,3.3kΩ,C25890
"TP1, TP2, TP3, TP4, TP5, TP6",TestPoint_Pad_1.5x1.5mm,6,TestPoint,
"U1, U3",SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL,2,TPS54331DR,C9865
"U2, U4",IND-SMD_L4.0-W4.0_XAL4030-682MEC,2,XAL4030-682MEC,C3040663
